STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-07,,,37,50,31,36,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-08,,,36,43,34,35,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-09,,,36,44,32,32,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-10,,,34,40,30,33,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-11,,,35,42,31,35,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-12,,,38,50,34,35,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-13,,,34,39,29,29,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-14,,,37,38,24,29,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-15,,,34,45,25,33,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-16,,,38,46,32,35,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-17,,,41,52,34,41,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-18,,,47,54,39,47,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-19,,,43,48,37,38,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-20,,,42,54,35,36,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-21,,,42,56,31,37,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-22,,,43,57,36,42,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-23,,,42,52,34,34,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-24,,,41,57,32,37,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-25,,,45,57,36,41,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-26,,,42,54,35,35,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-27,,,33,44,28,30,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-28,,,35,49,27,32,,,,
USS0021B51S,"SASSE RIDGE, WA US",47.38,-121.06,1322.8,2019-04-29,,,35,51,26,33,,,,
